year,week_start_date,week_end_date,month,zone,area_type,population_density,week_type,special_event,rainfall_mm,previous_wet_tons,previous_dry_tons,wet_waste_tons,dry_waste_tons
2023,2023-10-16,2023-10-22,10,Katukurunda 1,muslim_area,high,normal,no,137.3,47.14,43.06,44.45,40.67
2023,2023-10-16,2023-10-22,10,Katukurunda 2,town,medium,normal,no,137.3,29.58,27.06,28.79,25.48
2023,2023-10-23,2023-10-31,10,Kalutara North,town,medium,holiday,no,36.4,22.6,21.36,28.55,25.52
2023,2023-10-23,2023-10-31,10,Kalutara South,beach,low,holiday,no,36.4,16.95,15.45,22.3,19.77
2023,2023-10-23,2023-10-31,10,Katukurunda 1,muslim_area,high,holiday,no,36.4,44.45,40.67,56.3,53.11
2023,2023-10-23,2023-10-31,10,Katukurunda 2,town,medium,holiday,no,36.4,28.79,25.48,35.73,32.03
2023,2023-11-01,2023-11-05,11,Kalutara North,town,medium,normal,no,47.7,28.55,25.52,11.51,15.65
2023,2023-11-01,2023-11-05,11,Kalutara South,beach,low,normal,no,47.7,22.3,19.77,8.84,11.79
2023,2023-11-01,2023-11-05,11,Katukurunda 1,muslim_area,high,normal,no,47.7,56.3,53.11,23.76,31.59
2023,2023-11-01,2023-11-05,11,Katukurunda 2,town,medium,normal,no,47.7,35.73,32.03,15.14,19.78
2023,2023-11-06,2023-11-12,11,Kalutara North,town,medium,holiday,no,9.9,11.51,15.65,17.39,22.41
2023,2023-11-06,2023-11-12,11,Kalutara South,beach,low,holiday,no,9.9,8.84,11.79,12.95,16.7
2023,2023-11-06,2023-11-12,11,Katukurunda 1,muslim_area,high,holiday,no,9.9,23.76,31.59,33.77,46.11
2023,2023-11-06,2023-11-12,11,Katukurunda 2,town,medium,holiday,no,9.9,15.14,19.78,21.06,28.06
2023,2023-11-13,2023-11-19,11,Kalutara North,town,medium,normal,no,30.1,17.39,22.41,15.61,21.06
2023,2023-11-13,2023-11-19,11,Kalutara South,beach,low,normal,no,30.1,12.95,16.7,11.89,15.82
2023,2023-11-13,2023-11-19,11,Katukurunda 1,muslim_area,high,normal,no,30.1,33.77,46.11,31.09,40.76
2023,2023-11-13,2023-11-19,11,Katukurunda 2,town,medium,normal,no,30.1,21.06,28.06,19.17,25.79
2023,2023-11-20,2023-11-26,11,Kalutara North,town,medium,holiday,no,31.8,15.61,21.06,16.01,21.49
2023,2023-11-20,2023-11-26,11,Kalutara South,beach,low,holiday,no,31.8,11.89,15.82,11.82,15.72
2023,2023-11-20,2023-11-26,11,Katukurunda 1,muslim_area,high,holiday,no,31.8,31.09,40.76,31.2,42.28
2023,2023-11-20,2023-11-26,11,Katukurunda 2,town,medium,holiday,no,31.8,19.17,25.79,20.58,26.41
2023,2023-11-27,2023-11-30,11,Kalutara North,town,medium,normal,no,70.0,16.01,21.49,13.49,17.77
2023,2023-11-27,2023-11-30,11,Kalutara South,beach,low,normal,no,70.0,11.82,15.72,10.56,13.71
2023,2023-11-27,2023-11-30,11,Katukurunda 1,muslim_area,high,normal,no,70.0,31.2,42.28,27.62,36.34
2023,2023-11-27,2023-11-30,11,Katukurunda 2,town,medium,normal,no,70.0,20.58,26.41,16.83,23.3
2023,2023-12-01,2023-12-10,12,Kalutara North,town,medium,normal,no,16.6,13.49,17.77,24.46,8.43
2023,2023-12-01,2023-12-10,12,Kalutara South,beach,low,normal,no,16.6,10.56,13.71,18.23,6.3
2023,2023-12-01,2023-12-10,12,Katukurunda 1,muslim_area,high,normal,no,16.6,27.62,36.34,47.31,17.41
2023,2023-12-01,2023-12-10,12,Katukurunda 2,town,medium,normal,no,16.6,16.83,23.3,29.57,10.66
2023,2023-12-11,2023-12-17,12,Kalutara North,town,medium,normal,no,9.4,24.46,8.43,18.49,7.82
2023,2023-12-11,2023-12-17,12,Kalutara South,beach,low,normal,no,9.4,18.23,6.3,14.16,6.09
2023,2023-12-11,2023-12-17,12,Katukurunda 1,muslim_area,high,normal,no,9.4,47.31,17.41,36.17,15.5
2023,2023-12-11,2023-12-17,12,Katukurunda 2,town,medium,normal,no,9.4,29.57,10.66,22.97,10.18
2023,2023-12-18,2023-12-24,12,Kalutara North,town,medium,normal,no,43.8,18.49,7.82,22.75,7.69
2023,2023-12-18,2023-12-24,12,Kalutara South,beach,low,normal,no,43.8,14.16,6.09,17.04,5.56
2023,2023-12-18,2023-12-24,12,Katukurunda 1,muslim_area,high,normal,no,43.8,36.17,15.5,43.45,15.17
2023,2023-12-18,2023-12-24,12,Katukurunda 2,town,medium,normal,no,43.8,22.97,10.18,27.47,9.47
2023,2023-12-25,2023-12-31,12,Kalutara North,town,medium,festival,yes,49.6,22.75,7.69,24.52,8.99
2023,2023-12-25,2023-12-31,12,Kalutara South,beach,low,festival,yes,49.6,17.04,5.56,17.99,6.6
2023,2023-12-25,2023-12-31,12,Katukurunda 1,muslim_area,high,festival,yes,49.6,43.45,15.17,48.76,18.12
2023,2023-12-25,2023-12-31,12,Katukurunda 2,town,medium,festival,yes,49.6,27.47,9.47,29.48,10.78
2024,2024-01-01,2024-01-07,1,Kalutara North,town,medium,normal,no,1.4,24.52,8.99,12.43,6.18
2024,2024-01-01,2024-01-07,1,Kalutara South,beach,low,normal,no,1.4,17.99,6.6,8.98,4.83
2024,2024-01-01,2024-01-07,1,Katukurunda 1,muslim_area,high,normal,no,1.4,48.76,18.12,24.44,12.48
2024,2024-01-01,2024-01-07,1,Katukurunda 2,town,medium,normal,no,1.4,29.48,10.78,15.26,7.8
2024,2024-01-08,2024-01-14,1,Kalutara North,town,medium,normal,no,11.0,12.43,6.18,14.76,7.74
2024,2024-01-08,2024-01-14,1,Kalutara South,beach,low,normal,no,11.0,8.98,4.83,11.23,5.92
2024,2024-01-08,2024-01-14,1,Katukurunda 1,muslim_area,high,normal,no,11.0,24.44,12.48,30.23,15.24
2024,2024-01-08,2024-01-14,1,Katukurunda 2,town,medium,normal,no,11.0,15.26,7.8,19.18,9.7
2024,2024-01-15,2024-01-21,1,Kalutara North,town,medium,holiday,no,5.4,14.76,7.74,16.16,8.08
2024,2024-01-15,2024-01-21,1,Kalutara South,beach,low,holiday,no,5.4,11.23,5.92,12.02,6.18
2024,2024-01-15,2024-01-21,1,Katukurunda 1,muslim_area,high,holiday,no,5.4,30.23,15.24,31.73,16.02
2024,2024-01-15,2024-01-21,1,Katukurunda 2,town,medium,holiday,no,5.4,19.18,9.7,19.08,10.21
2024,2024-01-22,2024-01-28,1,Kalutara North,town,medium,holiday,no,14.5,16.16,8.08,13.92,7.43
2024,2024-01-22,2024-01-28,1,Kalutara South,beach,low,holiday,no,14.5,12.02,6.18,11.07,5.47
2024,2024-01-22,2024-01-28,1,Katukurunda 1,muslim_area,high,holiday,no,14.5,31.73,16.02,29.2,14.65
2024,2024-01-22,2024-01-28,1,Katukurunda 2,town,medium,holiday,no,14.5,19.08,10.21,17.61,9.25
2024,2024-01-29,2024-01-31,1,Kalutara North,town,medium,normal,no,9.1,13.92,7.43,14.48,7.26
2024,2024-01-29,2024-01-31,1,Kalutara South,beach,low,normal,no,9.1,11.07,5.47,10.88,5.43
2024,2024-01-29,2024-01-31,1,Katukurunda 1,muslim_area,high,normal,no,9.1,29.2,14.65,29.12,14.94
2024,2024-01-29,2024-01-31,1,Katukurunda 2,town,medium,normal,no,9.1,17.61,9.25,18.5,9.11
2024,2024-02-01,2024-02-11,2,Kalutara North,town,medium,holiday,no,20.1,14.48,7.26,17.96,7.55
2024,2024-02-01,2024-02-11,2,Kalutara South,beach,low,holiday,no,20.1,10.88,5.43,13.6,5.68
2024,2024-02-01,2024-02-11,2,Katukurunda 1,muslim_area,high,holiday,no,20.1,29.12,14.94,35.43,15.1
2024,2024-02-01,2024-02-11,2,Katukurunda 2,town,medium,holiday,no,20.1,18.5,9.11,22.81,9.78
2024,2024-02-12,2024-02-18,2,Kalutara North,town,medium,normal,no,1.5,17.96,7.55,16.14,6.96
2024,2024-02-12,2024-02-18,2,Kalutara South,beach,low,normal,no,1.5,13.6,5.68,11.73,5.06
2024,2024-02-12,2024-02-18,2,Katukurunda 1,muslim_area,high,normal,no,1.5,35.43,15.1,31.7,13.61
2024,2024-02-12,2024-02-18,2,Katukurunda 2,town,medium,normal,no,1.5,22.81,9.78,20.33,8.47
2024,2024-02-19,2024-02-25,2,Kalutara North,town,medium,holiday,yes,20.6,16.14,6.96,16.47,6.95
2024,2024-02-19,2024-02-25,2,Kalutara South,beach,low,holiday,yes,20.6,11.73,5.06,12.1,5.26
2024,2024-02-19,2024-02-25,2,Katukurunda 1,muslim_area,high,holiday,yes,20.6,31.7,13.61,33.95,14.12
2024,2024-02-19,2024-02-25,2,Katukurunda 2,town,medium,holiday,yes,20.6,20.33,8.47,20.61,8.85
2024,2024-02-26,2024-02-29,2,Kalutara North,town,medium,normal,no,1.6,16.47,6.95,16.05,6.63
2024,2024-02-26,2024-02-29,2,Kalutara South,beach,low,normal,no,1.6,12.1,5.26,12.0,5.06
