zone_type,rainfall_mm,week_type,population_density,month,special_event,previous_wet_tons,previous_dry_tons,wet_waste_tons,dry_waste_tons
residential,0.1,holiday,medium,4,yes,8.25,3.3,7.32,2.79
residential,20.9,normal,high,3,no,7.72,2.42,7.28,2.01
market,36.6,festival,medium,1,no,12.93,5.46,12.83,4.81
market,5.1,normal,medium,10,no,8.68,2.86,8.8,3.24
school,109.3,normal,high,7,no,1.69,3.57,2.65,4.29
office,2.6,normal,medium,4,no,3.47,3.24,3.42,3.06
tourist_area,20.3,normal,medium,8,yes,7.64,5.83,8.08,5.45
market,19.4,normal,medium,3,yes,9.59,3.72,9.96,3.81
residential,31.8,normal,medium,1,yes,5.44,3.79,6.01,3.46
office,4.7,normal,medium,5,no,3.59,2.87,3.59,3.39
residential,6.1,normal,high,2,yes,7.92,3.74,6.65,4.07
market,6.9,holiday,medium,3,no,8.35,2.0,7.8,2.45
residential,67.3,normal,medium,6,yes,6.5,1.23,7.91,1.02
residential,7.7,holiday,medium,3,yes,7.04,3.25,6.6,4.0
tourist_area,15.1,normal,medium,3,no,5.76,5.25,4.8,4.77
office,31.8,normal,medium,12,no,2.51,4.09,2.8,4.2
school,86.2,normal,high,6,no,1.85,4.64,3.03,3.68
market,44.9,normal,high,5,no,13.91,4.51,13.86,4.06
residential,38.1,normal,medium,10,no,4.86,2.91,6.04,2.75
residential,19.9,holiday,medium,9,no,5.84,2.16,7.01,2.44
residential,1.5,holiday,low,1,no,2.59,1.91,2.72,3.36
market,63.1,normal,medium,3,no,9.28,3.61,9.43,2.99
office,2.5,normal,medium,3,no,3.99,3.69,3.3,3.94
school,4.8,holiday,medium,11,no,4.09,4.48,3.57,4.93
residential,50.8,normal,medium,6,no,7.28,1.91,6.04,1.71
tourist_area,104.3,holiday,low,8,no,6.08,4.18,4.55,4.17
office,26.2,holiday,low,3,yes,3.84,2.37,3.5,2.73
school,130.1,holiday,high,3,no,3.56,6.69,3.15,6.57
school,257.3,normal,medium,6,no,1.91,1.4,2.93,3.07
market,68.4,normal,medium,8,no,9.19,3.37,9.33,3.06
residential,66.0,normal,low,6,yes,5.04,1.82,5.28,1.7
market,10.6,normal,low,12,no,6.56,2.48,7.19,2.92
office,5.0,holiday,high,10,yes,5.96,5.92,5.03,6.75
residential,4.5,normal,medium,3,no,3.86,3.82,3.78,2.8
residential,4.3,normal,medium,4,yes,5.54,3.41,5.91,2.97
residential,3.6,festival,low,1,no,5.39,1.42,5.56,2.16
residential,43.3,holiday,high,8,no,9.75,2.55,10.28,2.78
office,11.0,festival,low,4,no,4.75,3.24,4.84,2.71
office,300.0,holiday,low,6,no,3.09,2.0,3.25,2.33
market,25.9,normal,medium,11,no,6.95,1.84,7.78,2.76
residential,131.7,normal,medium,3,no,4.9,2.42,5.11,2.22
market,14.0,festival,low,11,no,8.45,2.46,8.16,2.7
market,18.4,normal,medium,12,no,8.81,3.84,8.44,3.39
residential,11.8,normal,medium,11,no,4.22,2.66,4.69,2.18
market,47.8,normal,high,6,no,13.28,3.8,13.59,3.38
market,4.6,normal,medium,12,no,8.97,4.44,8.06,4.02
school,87.1,holiday,low,11,no,2.36,3.39,1.58,2.71
school,300.0,normal,medium,9,no,4.0,2.99,3.43,2.91
residential,57.6,normal,high,9,no,8.44,3.18,9.21,3.1
market,4.9,normal,medium,10,no,6.94,1.92,7.14,2.94
school,16.5,normal,high,3,yes,2.95,6.62,3.99,6.28
market,6.2,normal,low,3,no,6.28,3.54,7.15,2.31
office,13.6,normal,medium,4,no,4.58,2.93,4.04,3.01
school,4.1,festival,low,12,no,3.15,2.96,2.59,3.25
residential,58.1,normal,medium,7,yes,6.7,2.07,7.16,2.53
residential,9.5,normal,high,3,no,7.33,1.99,7.09,2.37
school,13.0,normal,high,10,no,2.69,5.22,2.48,3.98
residential,60.0,normal,medium,8,no,6.36,2.74,5.76,4.12
school,16.8,normal,medium,11,yes,2.21,4.93,2.78,5.13
tourist_area,300.0,holiday,high,8,yes,9.89,6.78,10.77,6.91
school,81.3,normal,medium,6,no,3.17,3.57,2.88,2.8
market,62.7,holiday,low,4,no,8.15,2.24,8.12,1.58
school,55.6,normal,medium,11,no,1.31,3.69,2.2,3.89
market,91.1,normal,low,12,no,5.85,1.01,5.89,1.75
market,46.8,normal,medium,11,no,8.25,3.93,8.21,3.91
tourist_area,32.3,festival,medium,5,no,8.13,5.3,7.52,5.68
market,58.3,normal,medium,12,no,8.71,3.73,8.04,3.03
tourist_area,2.4,normal,medium,2,no,4.67,5.02,6.02,3.93
tourist_area,99.3,normal,low,6,no,4.56,3.33,4.21,3.12
residential,136.0,normal,medium,3,no,5.15,1.76,5.88,1.77
residential,167.4,normal,high,6,no,7.49,1.78,8.75,1.61
residential,98.2,normal,medium,12,no,5.95,2.18,5.41,2.81
residential,45.4,normal,medium,5,no,5.23,2.26,5.59,1.55
residential,62.4,normal,high,2,no,6.14,3.16,6.22,3.47
school,36.8,normal,high,12,no,1.87,5.19,1.45,4.87
residential,42.9,holiday,low,5,no,5.1,2.78,4.13,2.41
residential,22.2,holiday,low,5,no,5.91,0.84,5.57,1.71
office,267.7,holiday,high,9,no,6.09,4.16,5.65,4.07
residential,52.3,normal,high,11,no,7.0,4.43,8.07,4.74
office,203.4,normal,high,8,no,3.0,3.76,3.62,4.57
residential,33.5,normal,high,12,no,6.78,3.32,7.83,3.59
residential,10.9,normal,medium,12,no,5.15,3.13,4.71,3.25
school,51.5,normal,medium,7,no,3.18,3.48,4.25,3.89
school,82.3,normal,low,12,no,0.53,3.22,1.35,3.42
office,26.5,normal,low,3,no,2.59,2.98,2.75,2.9
office,10.6,normal,medium,10,no,3.6,2.62,3.08,2.77
office,4.8,holiday,medium,4,no,3.46,3.37,3.94,2.81
residential,190.8,normal,medium,6,no,6.25,1.88,7.18,1.32
residential,54.3,normal,high,3,no,5.17,2.02,5.62,3.59
office,50.5,normal,medium,11,yes,3.34,4.64,3.24,4.73
office,100.0,normal,medium,9,no,2.94,2.93,2.95,2.89
tourist_area,89.8,normal,low,8,no,3.28,3.33,4.53,3.72
market,47.1,festival,medium,6,no,15.0,3.81,15.65,3.27
market,0.3,festival,high,4,yes,15.0,5.49,18.0,5.93
office,167.2,normal,medium,7,no,2.48,3.07,3.16,2.97
residential,2.7,festival,high,11,no,11.13,4.71,10.89,4.85
tourist_area,29.9,festival,medium,3,no,6.52,6.54,6.84,6.28
office,21.0,holiday,medium,10,no,1.75,3.44,3.17,3.25
market,34.3,holiday,medium,8,no,12.2,2.48,11.91,2.33
office,78.4,normal,medium,1,no,2.55,4.21,3.48,3.56
office,1.0,normal,high,3,no,4.43,3.16,4.42,3.74
residential,44.5,normal,medium,11,no,3.1,2.5,2.44,1.87
tourist_area,1.6,normal,high,5,no,7.82,4.59,7.9,4.65
market,1.2,festival,low,5,yes,14.46,2.33,13.04,2.72
office,16.9,normal,high,10,no,4.12,3.86,4.65,4.1
residential,2.0,holiday,low,2,no,5.83,2.85,5.66,2.58
tourist_area,46.7,holiday,high,10,no,8.89,7.28,8.54,7.28
market,104.5,holiday,medium,8,no,12.59,2.41,12.7,3.75
residential,0.9,festival,medium,5,no,9.39,3.46,9.7,3.31
tourist_area,30.1,normal,medium,7,no,6.58,4.25,5.79,4.06
residential,133.5,normal,high,7,no,8.27,2.53,8.74,2.61
residential,49.2,normal,low,5,no,4.03,0.9,4.79,1.66
tourist_area,91.1,normal,medium,8,no,4.67,4.33,5.98,4.25
tourist_area,123.2,normal,high,9,yes,8.04,6.49,7.36,7.0
school,48.3,normal,medium,4,no,2.61,3.48,2.87,3.77
school,28.3,holiday,low,4,yes,2.42,4.02,2.0,3.74
market,37.3,normal,medium,8,yes,11.4,3.17,10.9,3.2
residential,28.5,normal,medium,1,no,4.53,2.61,4.79,3.32
residential,29.7,normal,high,4,no,7.0,3.29,7.1,3.29
school,160.0,normal,high,6,no,3.74,5.1,4.55,4.29
office,29.1,normal,medium,4,no,3.28,3.2,3.03,3.1
office,300.0,holiday,high,6,no,6.05,4.33,5.96,3.25
office,6.6,normal,medium,5,no,3.3,2.83,3.43,3.06
residential,281.5,holiday,low,9,no,5.92,1.18,5.12,1.98
market,23.2,normal,medium,10,no,8.21,3.56,7.98,2.69
residential,139.3,holiday,medium,9,no,6.92,1.48,7.51,2.01
